,Current Ranking,University Name,Overall Score,"City, Country",2021 Ranking,2020 Ranking,2019 Ranking,Status,Research Output,Student/Faculty Ratio,Scholarships,International Students,Size,Total Faculty
0,1,Massachusetts Institute of Technology (MIT),100,"Cambridge,United States",1,1,1,Private,Very High,4,,"3,730",M,"3,065"
1,2,University of Oxford,99.5,"Oxford,United Kingdom",5,4,5,Public,Very High,3,Yes,"8,442",L,"6,708"
2,=3,Stanford University,98.7,"Stanford,United States",2,2,2,Private,Very High,3,,"3,879",L,"4,725"
3,=3,University of Cambridge,98.7,"Cambridge,United Kingdom",7,7,6,Public,Very High,4,Yes,"7,925",L,"5,800"
4,5,Harvard University,98,"Cambridge,United States",3,3,3,Private,Very High,5,,"5,877",L,"4,646"
5,6,California Institute of Technology (Caltech),97.4,"Pasadena,United States",4,5,4,Private,Very High,2,,692,S,968
6,7,Imperial College London,97.3,"London,United Kingdom",8,9,8,Public,Very High,5,Yes,"11,143",L,
7,=8,ETH Zurich - Swiss Federal Institute of Technology,95.4,"Zürich,Switzerland",6,6,7,Public,Very High,7,,"7,733",L,"2,719"
8,=8,UCL,95.4,"London,United Kingdom",10,8,10,Public,Very High,5,Yes,"21,824",XL,"7,195"
9,10,University of Chicago,94.5,"Chicago,United States",9,10,9,Private,Very High,6,Yes,"4,696",L,"2,703"
10,11,National University of Singapore (NUS),93.9,"Singapore,Singapore",11,11,11,Public,Very High,7,,"7,551",XL,"4,288"
11,12,"Nanyang Technological University, Singapore (NTU)",90.8,"Singapore,Singapore",13,11,12,Public,Very High,6,,"6,091",L,"3,812"
12,13,University of Pennsylvania,90.7,"Philadelphia,United States",16,15,19,Private,Very High,4,Yes,"4,636",L,"5,154"
13,=14,EPFL,90.2,"Lausanne,Switzerland",14,18,22,Public,Very High,6,Yes,"6,426",M,"1,767"
14,=14,Yale University,90.2,"New Haven,United States",17,17,15,Private,Very High,2,Yes,"2,537",M,"5,391"
15,16,The University of Edinburgh,89.9,"Edinburgh,United Kingdom",20,20,18,Public,Very High,7,Yes,"14,637",XL,
